ALAMANCE,ALLEGHANY,ASHE,BEAUFORT,BERTIE,BLADEN,BRUNSWICK,BUNCOMBE,BURKE,CABARRUS,CAMDEN,CARTERET,CATAWBA,CHOWAN,CLEVELAND,CRAVEN,CUMBERLAND,CURRITUCK,DARE,DAVIDSON,DUPLIN,FRANKLIN,GASTON,GRANVILLE,GUILFORD,HALIFAX,HARNETT,HOKE,HYDE,JONES,LINCOLN,MECKLENBURG,MOORE,NASH,NEW HANOVER,NORTHAMPTON,ONSLOW,PAMLICO,PERQUIMANS,PERSON,PITT,ROBESON,ROCKINGHAM,ROWAN,SAMPSON,SCOTLAND,STANLY,SURRY,TYRRELL,WAKE,WASHINGTON,WATAUGA,WAYNE,WILKES
81,677,2857,3724,221,0,5180,2066,215,5635,1016,7129,8628,938,978,6748,2289,2852,2826,20011,1527,2422,2325,819,3911,0,38,503,224,480,8339,697,10132,701,2523,0,5808,927,959,1041,0,956,0,724,0,730,6331,3707,143,4339,321,2976,0,0
2218,677,2857,7176,221,2861,5180,2066,1933,7821,1016,7129,8628,938,978,11690,7200,2852,2826,20011,5414,2422,2325,3710,9088,8800,2145,503,224,480,8339,27830,10132,701,6953,4235,6183,927,959,3324,5578,956,2745,935,2934,730,6331,3707,143,21572,321,2976,2100,0
