ALAMANCE,ALEXANDER,ALLEGHANY,ANSON,ASHE,AVERY,BEAUFORT,BERTIE,BLADEN,BRUNSWICK,BUNCOMBE,BURKE,CABARRUS,CALDWELL,CAMDEN,CARTERET,CASWELL,CATAWBA,CHATHAM,CHEROKEE,CHOWAN,CLAY,CLEVELAND,COLUMBUS,CRAVEN,CUMBERLAND,CURRITUCK,DARE,DAVIDSON,DAVIE,DUPLIN,DURHAM,EDGECOMBE,FORSYTH,FRANKLIN,GASTON,GATES,GRAHAM,GRANVILLE,GREENE,GUILFORD,HALIFAX,HARNETT,HAYWOOD,HENDERSON,HERTFORD,HOKE,HYDE,IREDELL,JACKSON,JOHNSTON,JONES,LEE,LENOIR,LINCOLN,MACON,MADISON,MARTIN,MCDOWELL,MECKLENBURG,MITCHELL,MONTGOMERY,MOORE,NASH,NEW HANOVER,NORTHAMPTON,ONSLOW,ORANGE,PAMLICO,PASQUOTANK,PENDER,PERQUIMANS,PERSON,PITT,POLK,RANDOLPH,RICHMOND,ROBESON,ROCKINGHAM,ROWAN,RUTHERFORD,SAMPSON,SCOTLAND,STANLY,STOKES,SURRY,SWAIN,TRANSYLVANIA,TYRRELL,UNION,VANCE,WAKE
758,44,109,40,785,20001,2422,0,2325,14,466,44,894,16,75,45,30,62,35,32,780,991,3,2823,0,3911,325,455,7848,2852,19,10,13,12267,5,2284,1,4,0,8,1942,1016,29,34,41,19,12,26,45,38,8387,0,37,61,721,75,226,60,159,19632,3,251,3,114,353,143,3047,11459,1374,57,40,40,1225,3637,0,2,954,927,9,6322,1,1633,42,168,153,1293,449,195,171,4993,132,2239
758,9,12,66,2567,20001,2422,0,2325,14,2603,44,894,16,75,45,30,62,35,32,780,991,3,2823,0,9088,325,455,7848,2852,60,50,35,15025,79,4349,1,4,0,8,5394,3788,29,34,41,19,12,26,45,38,11272,0,37,61,3612,75,226,60,159,50310,9395,6139,1,6,8834,143,10545,11459,3657,60,357,57,1305,13372,0,2,954,927,9,6322,1,1633,42,168,153,2363,1030,449,195,8473,132,6474
